date,year,month,reporter genome 2,reporter genome 3,reporter name,mirror,trade flow,HS Code,HS Description,value,value currency,quantity,quantity unit,quantity type,partner genome 2,partner genome 3,partner name
202403,2024,03,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",123374.6759,USD,34088,KG,primary,CN,CHN,China (People's Republic of)
202208,2022,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",330072.4142,USD,14194,KG,primary,KR,KOR,Korea (Rep. of)
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",349305.6039,USD,32658,KG,primary,TH,THA,Thailand
202009,2020,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",462066.0861,USD,35292,KG,primary,CN,CHN,China (People's Republic of)
202404,2024,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",130946053.9,USD,8158844,KG,primary,US,USA,United States
202208,2022,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",664058.5224,USD,63273,KG,primary,JP,JPN,Japan
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",5209407.869,USD,462063,KG,primary,VN,VNM,Viet-Nam
202009,2020,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",240903.1292,USD,18124,KG,primary,HK,HKG,Hong Kong
202404,2024,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",403851.1895,USD,51193,KG,primary,VN,VNM,Viet-Nam
201312,2013,12,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",25374.4835,USD,2364,KG,primary,VN,VNM,Viet-Nam
202208,2022,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",4427.2066,USD,272,KG,primary,TW,TWN,Taiwan
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1483950.916,USD,179250,KG,primary,ID,IDN,Indonesia
202010,2020,10,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",5255333.823,USD,229575,KG,primary,US,USA,United States
202404,2024,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",158334.2575,USD,16320,KG,primary,ID,IDN,Indonesia
201312,2013,12,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",805665.2247,USD,76160,KG,primary,ID,IDN,Indonesia
202208,2022,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1050666.117,USD,57556,KG,primary,HK,HKG,Hong Kong
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",11447291.85,USD,1023641,KG,primary,CN,CHN,China (People's Republic of)
202010,2020,10,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",185029.2493,USD,17154,KG,primary,ID,IDN,Indonesia
202404,2024,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1489520.851,USD,120379,KG,primary,CN,CHN,China (People's Republic of)
202208,2022,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",85572.2642,USD,4083,KG,primary,AU,AUS,Australia
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",85959.153,USD,7062,KG,primary,KR,KOR,Korea (Rep. of)
202010,2020,10,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",632136.4708,USD,51018,KG,primary,CN,CHN,China (People's Republic of)
202404,2024,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",7895091.006,USD,655590,KG,primary,JP,JPN,Japan
201312,2013,12,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1222771.924,USD,190842,KG,primary,CN,CHN,China (People's Republic of)
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",36140711.44,USD,2031732,KG,primary,US,USA,United States
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",4832743.756,USD,418658,KG,primary,JP,JPN,Japan
202011,2020,11,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2776917.168,USD,155962,KG,primary,US,USA,United States
202405,2024,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",252075456.5,USD,15937962,KG,primary,US,USA,United States
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2789749.211,USD,198698,KG,primary,VN,VNM,Viet-Nam
202306,2023,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1341252.76,USD,101514,KG,primary,HK,HKG,Hong Kong
202011,2020,11,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",177533.7352,USD,16466,KG,primary,ID,IDN,Indonesia
202405,2024,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1166648.598,USD,85700,KG,primary,TH,THA,Thailand
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1667369.1,USD,126679,KG,primary,ID,IDN,Indonesia
202307,2023,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",220851.6462,USD,16869,KG,primary,FR,FRA,France
202405,2024,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",6439523.533,USD,469609,KG,primary,VN,VNM,Viet-Nam
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",5890602.097,USD,406090,KG,primary,CN,CHN,China (People's Republic of)
202011,2020,11,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",192812.5565,USD,17146,KG,primary,CN,CHN,China (People's Republic of)
202307,2023,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",158802969,USD,12528102,KG,primary,US,USA,United States
202405,2024,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",897247.4074,USD,100738,KG,primary,ID,IDN,Indonesia
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",258411.0984,USD,16876,KG,primary,JP,JPN,Japan
202307,2023,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",4189956.181,USD,350014,KG,primary,VN,VNM,Viet-Nam
202011,2020,11,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",34441.8293,USD,6097,KG,primary,HK,HKG,Hong Kong
202405,2024,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",161798.173,USD,10559,KG,primary,SG,SGP,Singapore
202209,2022,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",266677.6601,USD,16030,KG,primary,HK,HKG,Hong Kong
202307,2023,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2562686.042,USD,260275,KG,primary,ID,IDN,Indonesia
202012,2020,12,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2111257.028,USD,101374,KG,primary,US,USA,United States
